Variant;Variant ID;Language;Feature name;Feature group;Position
" 10 oz";"935";"ru";"Размер";"";"0"
" 10.5 USA";"940";"ru";"Размер";"";"0"
" 12 oz";"922";"ru";"Размер";"";"0"
" 14 oz";"921";"ru";"Размер";"";"0"
" 16 oz";"918";"ru";"Размер";"";"0"
" 8 oz";"931";"ru";"Размер";"";"0"
" 9 USA";"942";"ru";"Размер";"";"0"
" 9.5 USA";"943";"ru";"Размер";"";"0"
" A1";"957";"ru";"Размер";"";"0"
" A1L";"959";"ru";"Размер";"";"0"
" A2";"960";"ru";"Размер";"";"0"
" L";"951";"ru";"Размер";"";"0"
" M";"945";"ru";"Размер";"";"0"
" S";"947";"ru";"Размер";"";"0"
" XL";"955";"ru";"Размер";"";"0"
" XS";"948";"ru";"Размер";"";"0"
"(25 шт - 4,5  х 7,5)";"407";"ru";"Размер";"";"0"
"-3.0";"626";"ru";"Размер";"";"0"
"-4.0";"624";"ru";"Размер";"";"0"
"-5.0";"625";"ru";"Размер";"";"0"
"0,3 см х 15 см х 180 см";"640";"ru";"Размер";"";"0"
"0,6 см х 15 см х 180 см";"641";"ru";"Размер";"";"0"
"1,2 м";"770";"ru";"Размер";"";"0"
"1,250 кг";"372";"ru";"Размер";"";"0"
"10";"335";"ru";"Размер";"";"0"
"10 oz";"645";"ru";"Размер";"";"0"
"10 oz+";"677";"ru";"Размер";"";"0"
"10 USA";"289";"ru";"Размер";"";"0"
"10 кг";"350";"ru";"Размер";"";"0"
"10 м";"255";"ru";"Размер";"";"0"
"10 см х 15 см";"780";"ru";"Размер";"";"0"
"10,0 см х 10,0 см х 0,5 см";"370";"ru";"Размер";"";"0"
"10,0 см х 10,0 см х 1,25 см";"371";"ru";"Размер";"";"0"
"10-29кг";"697";"ru";"Размер";"";"0"
"10.5 USA";"290";"ru";"Размер";"";"0"
"100";"382";"ru";"Размер";"";"0"
"100*35см";"597";"ru";"Размер";"";"0"
"100-110";"449";"ru";"Размер";"";"0"
"10oz LXL";"655";"ru";"Размер";"";"0"
"10oz SM";"656";"ru";"Размер";"";"0"
"11 USA";"300";"ru";"Размер";"";"0"
"11,4 гр";"460";"ru";"Размер";"";"0"
"11-13 лет";"790";"ru";"Размер";"";"0"
"11.5 USA";"472";"ru";"Размер";"";"0"
"11/12";"797";"ru";"Размер";"";"0"
"110";"384";"ru";"Размер";"";"0"
"110-120";"453";"ru";"Размер";"";"0"
"113 гр";"387";"ru";"Размер";"";"0"
"12";"344";"ru";"Размер";"";"0"
"12 oz";"319";"ru";"Размер";"";"0"
"12 USA";"473";"ru";"Размер";"";"0"
"12.5 USA";"470";"ru";"Размер";"";"0"
"120";"375";"ru";"Размер";"";"0"
"120 х 33 см";"559";"ru";"Размер";"";"0"
"120*30-45";"561";"ru";"Размер";"";"0"
"120-130";"450";"ru";"Размер";"";"0"
"128";"544";"ru";"Размер";"";"0"
"12oz";"672";"ru";"Размер";"";"0"
"12oz LXL";"650";"ru";"Размер";"";"0"
"12oz SM";"651";"ru";"Размер";"";"0"
"13 USA";"471";"ru";"Размер";"";"0"
"13,9 х19 см";"721";"ru";"Размер";"";"0"
"13-37кг";"771";"ru";"Размер";"";"0"
"13.5 USA";"508";"ru";"Размер";"";"0"
"13/14";"794";"ru";"Размер";"";"0"
"130";"376";"ru";"Размер";"";"0"
"130 x 70 см";"706";"ru";"Размер";"";"0"
"130-140";"451";"ru";"Размер";"";"0"
"135*50";"556";"ru";"Размер";"";"0"
"14";"345";"ru";"Размер";"";"0"
"14 oz";"320";"ru";"Размер";"";"0"
"14 USA";"474";"ru";"Размер";"";"0"
"14 м";"240";"ru";"Размер";"";"0"
"140";"377";"ru";"Размер";"";"0"
"140-150";"452";"ru";"Размер";"";"0"
"146";"546";"ru";"Размер";"";"0"
"14oz";"916";"ru";"Размер";"";"0"
"14oz LXL";"652";"ru";"Размер";"";"0"
"14oz SM";"653";"ru";"Размер";"";"0"
"15 кг";"351";"ru";"Размер";"";"0"
"15 м";"241";"ru";"Размер";"";"0"
"15 см х 25 см";"781";"ru";"Размер";"";"0"
"15,24 см х 30 см х 48 см";"642";"ru";"Размер";"";"0"
"150";"257";"ru";"Размер";"";"0"
"150 х 33 см";"557";"ru";"Размер";"";"0"
"150-160";"456";"ru";"Размер";"";"0"
"152";"545";"ru";"Размер";"";"0"
"155";"445";"ru";"Размер";"";"0"
"158";"548";"ru";"Размер";"";"0"
"15х23";"365";"ru";"Размер";"";"0"
"16 oz";"321";"ru";"Размер";"";"0"
"16 oz+";"670";"ru";"Размер";"";"0"
"16-37кг";"696";"ru";"Размер";"";"0"
"160";"378";"ru";"Размер";"";"0"
"164";"789";"ru";"Размер";"";"0"
"165";"446";"ru";"Размер";"";"0"
"16oz";"694";"ru";"Размер";"";"0"
"16oz LXL";"654";"ru";"Размер";"";"0"
"16oz SM";"671";"ru";"Размер";"";"0"
"17-54кг";"409";"ru";"Размер";"";"0"
"170";"379";"ru";"Размер";"";"0"
"175";"447";"ru";"Размер";"";"0"
"18 oz";"660";"ru";"Размер";"";"0"
"180";"380";"ru";"Размер";"";"0"
"180 см";"374";"ru";"Размер";"";"0"
"180 х 33 см";"558";"ru";"Размер";"";"0"
"180*35см";"598";"ru";"Размер";"";"0"
"185";"448";"ru";"Размер";"";"0"
"18х25";"366";"ru";"Размер";"";"0"
"190";"381";"ru";"Размер";"";"0"
"195";"455";"ru";"Размер";"";"0"
"2,5 кг";"373";"ru";"Размер";"";"0"
"2,5 м";"251";"ru";"Размер";"";"0"
"2,5 см х 10 м";"764";"ru";"Размер";"";"0"
"2,5 см х 5 м";"765";"ru";"Размер";"";"0"
"2,5 см х 9,14 м";"749";"ru";"Размер";"";"0"
"2,54 м";"256";"ru";"Размер";"";"0"
"2,75 м";"245";"ru";"Размер";"";"0"
"2,8 м";"720";"ru";"Размер";"";"0"
"2.5 м";"259";"ru";"Размер";"";"0"
"2.55м";"260";"ru";"Размер";"";"0"
"2.5м";"261";"ru";"Размер";"";"0"
"20 oz";"661";"ru";"Размер";"";"0"
"20 кг";"352";"ru";"Размер";"";"0"
"20/65/35*100-50";"357";"ru";"Размер";"";"0"
"200";"454";"ru";"Размер";"";"0"
"20х100-40";"361";"ru";"Размер";"";"0"
"220";"717";"ru";"Размер";"";"0"
"23-68кг";"730";"ru";"Размер";"";"0"
"23x15";"367";"ru";"Размер";"";"0"
"24";"517";"ru";"Размер";"";"0"
"240";"718";"ru";"Размер";"";"0"
"25 кг";"353";"ru";"Размер";"";"0"
"25*80-20";"566";"ru";"Размер";"";"0"
"25x18";"368";"ru";"Размер";"";"0"
"26";"518";"ru";"Размер";"";"0"
"260";"714";"ru";"Размер";"";"0"
"27,9 х19 см";"722";"ru";"Размер";"";"0"
"28";"519";"ru";"Размер";"";"0"
"280";"715";"ru";"Размер";"";"0"
"283 гр";"388";"ru";"Размер";"";"0"
"29.5";"787";"ru";"Размер";"";"0"
"2T";"515";"ru";"Размер";"";"0"
"2XL";"1";"ru";"Размер";"";"0"
"2XS";"404";"ru";"Размер";"";"0"
"3 кг";"554";"ru";"Размер";"";"0"
"3 м";"242";"ru";"Размер";"";"0"
"3 мм х 15 см х 2,5 м";"347";"ru";"Размер";"";"0"
"3,5";"253";"ru";"Размер";"";"0"
"3,5 м";"246";"ru";"Размер";"";"0"
"3,75 oz (105 г)";"748";"ru";"Размер";"";"0"
"3,8 м";"252";"ru";"Размер";"";"0"
"3,8 см х 13,7 м";"759";"ru";"Размер";"";"0"
"3,8 см х 13,72 м";"750";"ru";"Размер";"";"0"
"3,8 см х 6,85 м";"763";"ru";"Размер";"";"0"
"3,8 см х 9,1 м";"769";"ru";"Размер";"";"0"
"3-15кг";"467";"ru";"Размер";"";"0"
"30";"520";"ru";"Размер";"";"0"
"30*100-25";"567";"ru";"Размер";"";"0"
"30*100-35";"568";"ru";"Размер";"";"0"
"30*120-40";"596";"ru";"Размер";"";"0"
"30*120-45";"565";"ru";"Размер";"";"0"
"30*120-60";"571";"ru";"Размер";"";"0"
"30*150-50";"560";"ru";"Размер";"";"0"
"30*150-70";"573";"ru";"Размер";"";"0"
"30*180-60";"574";"ru";"Размер";"";"0"
"30*180-65";"575";"ru";"Размер";"";"0"
"300";"713";"ru";"Размер";"";"0"
"30х100-40";"569";"ru";"Размер";"";"0"
"30х120-45";"577";"ru";"Размер";"";"0"
"30х120-50";"570";"ru";"Размер";"";"0"
"30х150-60";"572";"ru";"Размер";"";"0"
"30х180-70";"576";"ru";"Размер";"";"0"
"31";"785";"ru";"Размер";"";"0"
"32";"281";"ru";"Размер";"";"0"
"32-34";"737";"ru";"Размер";"";"0"
"32-80кг";"609";"ru";"Размер";"";"0"
"32/16х40х75";"703";"ru";"Размер";"";"0"
"32/20*110-45";"562";"ru";"Размер";"";"0"
"32/20*110-50";"563";"ru";"Размер";"";"0"
"32/20*120-45";"578";"ru";"Размер";"";"0"
"320";"716";"ru";"Размер";"";"0"
"33";"282";"ru";"Размер";"";"0"
"34";"283";"ru";"Размер";"";"0"
"34-36";"738";"ru";"Размер";"";"0"
"34.5";"786";"ru";"Размер";"";"0"
"35";"275";"ru";"Размер";"";"0"
"35*120-45";"581";"ru";"Размер";"";"0"
"35*120-50";"582";"ru";"Размер";"";"0"
"35*120-55";"583";"ru";"Размер";"";"0"
"35*120-60";"584";"ru";"Размер";"";"0"
"35*120-70";"586";"ru";"Размер";"";"0"
"35*150-38";"324";"ru";"Размер";"";"0"
"35*150-50";"588";"ru";"Размер";"";"0"
"35*150-70";"323";"ru";"Размер";"";"0"
"35*180-80";"590";"ru";"Размер";"";"0"
"35*180-85";"322";"ru";"Размер";"";"0"
"35*70-25";"358";"ru";"Размер";"";"0"
"35-38";"602";"ru";"Размер";"";"0"
"35.5";"752";"ru";"Размер";"";"0"
"35/20*120-45";"595";"ru";"Размер";"";"0"
"35х110-45";"579";"ru";"Размер";"";"0"
"35х120-61";"585";"ru";"Размер";"";"0"
"35х135-55";"587";"ru";"Размер";"";"0"
"35х150-75";"589";"ru";"Размер";"";"0"
"36";"276";"ru";"Размер";"";"0"
"36-38";"739";"ru";"Размер";"";"0"
"36.5";"753";"ru";"Размер";"";"0"
"37";"277";"ru";"Размер";"";"0"
"37/38";"731";"ru";"Размер";"";"0"
"38";"278";"ru";"Размер";"";"0"
"38-40";"740";"ru";"Размер";"";"0"
"38-7";"364";"ru";"Размер";"";"0"
"38.5";"287";"ru";"Размер";"";"0"
"39";"279";"ru";"Размер";"";"0"
"39-42";"604";"ru";"Размер";"";"0"
"39-44";"608";"ru";"Размер";"";"0"
"39.5";"295";"ru";"Размер";"";"0"
"39/40";"732";"ru";"Размер";"";"0"
"39/41";"536";"ru";"Размер";"";"0"
"39 ";"2387";"ru";"Размер";"";"0"
"3T";"516";"ru";"Размер";"";"0"
"3XL";"725";"ru";"Размер";"";"0"
"4 oz";"647";"ru";"Размер";"";"0"
"4 шт (3 мм х 15 см х 30 см)+ 4 шт (6 мм х 15 см х ";"348";"ru";"Размер";"";"0"
"4,5 кг";"390";"ru";"Размер";"";"0"
"4,5 м";"243";"ru";"Размер";"";"0"
"4,55 м";"247";"ru";"Размер";"";"0"
"40";"280";"ru";"Размер";"";"0"
"40 (7.5 USA)";"294";"ru";"Размер";"";"0"
"40*120-80";"591";"ru";"Размер";"";"0"
"40-15";"362";"ru";"Размер";"";"0"
"40-42";"741";"ru";"Размер";"";"0"
"40-5";"359";"ru";"Размер";"";"0"
"40.5";"285";"ru";"Размер";"";"0"
"40.5 (8 USA)";"307";"ru";"Размер";"";"0"
"40/30*120-60";"592";"ru";"Размер";"";"0"
"400 мл";"779";"ru";"Размер";"";"0"
"40 ";"2389";"ru";"Размер";"";"0"
"41";"268";"ru";"Размер";"";"0"
"41 (8.5 USA)";"310";"ru";"Размер";"";"0"
"41-43";"605";"ru";"Размер";"";"0"
"41.5";"296";"ru";"Размер";"";"0"
"41.5 (9 USA)";"308";"ru";"Размер";"";"0"
"41/42";"733";"ru";"Размер";"";"0"
"41 ";"2390";"ru";"Размер";"";"0"
"42";"269";"ru";"Размер";"";"0"
"42 (9.5 USA)";"311";"ru";"Размер";"";"0"
"42,5 (10 USA)";"312";"ru";"Размер";"";"0"
"42-44";"742";"ru";"Размер";"";"0"
"42.5";"288";"ru";"Размер";"";"0"
"42/43";"537";"ru";"Размер";"";"0"
"42 ";"2391";"ru";"Размер";"";"0"
"43";"270";"ru";"Размер";"";"0"
"43 (10.5 USA)";"306";"ru";"Размер";"";"0"
"43-46";"603";"ru";"Размер";"";"0"
"43.5";"297";"ru";"Размер";"";"0"
"43.5 (11 USA)";"309";"ru";"Размер";"";"0"
"43/44";"734";"ru";"Размер";"";"0"
"43 ";"2392";"ru";"Размер";"";"0"
"44";"271";"ru";"Размер";"";"0"
"44 (11.5 USA)";"313";"ru";"Размер";"";"0"
"44-46";"743";"ru";"Размер";"";"0"
"44.5";"286";"ru";"Размер";"";"0"
"44/21*110-40";"325";"ru";"Размер";"";"0"
"44/46";"538";"ru";"Размер";"";"0"
"44 ";"2393";"ru";"Размер";"";"0"
"45";"272";"ru";"Размер";"";"0"
"45 (12 USA)";"314";"ru";"Размер";"";"0"
"45-90кг";"782";"ru";"Размер";"";"0"
"45.5 (12.5 USA)";"315";"ru";"Размер";"";"0"
"45/46";"735";"ru";"Размер";"";"0"
"45 ";"2394";"ru";"Размер";"";"0"
"45х150-45";"593";"ru";"Размер";"";"0"
"46";"273";"ru";"Размер";"";"0"
"46 (13 USA)";"316";"ru";"Размер";"";"0"
"46-48";"744";"ru";"Размер";"";"0"
"46.5 (13.5 USA)";"317";"ru";"Размер";"";"0"
"46 ";"2395";"ru";"Размер";"";"0"
"47";"274";"ru";"Размер";"";"0"
"47 (14 USA)";"318";"ru";"Размер";"";"0"
"47 [UK 12,5]";"754";"ru";"Размер";"";"0"
"47-49";"607";"ru";"Размер";"";"0"
"474 мл";"736";"ru";"Размер";"";"0"
"48-50";"745";"ru";"Размер";"";"0"
"4m";"267";"ru";"Размер";"";"0"
"4oz L";"689";"ru";"Размер";"";"0"
"4oz M";"690";"ru";"Размер";"";"0"
"4oz S";"691";"ru";"Размер";"";"0"
"4oz XL";"692";"ru";"Размер";"";"0"
"4XL";"726";"ru";"Размер";"";"0"
"4м";"254";"ru";"Размер";"";"0"
"5 кг";"354";"ru";"Размер";"";"0"
"5 м";"328";"ru";"Размер";"";"0"
"5 см х 32 м";"766";"ru";"Размер";"";"0"
"5 см х 4 м";"768";"ru";"Размер";"";"0"
"5 см х 5 м";"767";"ru";"Размер";"";"0"
"5,0 см  х 5 м";"459";"ru";"Размер";"";"0"
"5,0 см х 13,7 м";"760";"ru";"Размер";"";"0"
"5,0 см х 13,72 м";"751";"ru";"Размер";"";"0"
"5,0 см х 32 м";"755";"ru";"Размер";"";"0"
"5,0 см х 4,5 м";"468";"ru";"Размер";"";"0"
"5,0 см х 5 м";"756";"ru";"Размер";"";"0"
"5,0 см х 5,48 м";"723";"ru";"Размер";"";"0"
"5,0 см х 6,85 м";"761";"ru";"Размер";"";"0"
"5,0 см х 6,9 м";"802";"ru";"Размер";"";"0"
"5,5 м";"244";"ru";"Размер";"";"0"
"5-16кг";"698";"ru";"Размер";"";"0"
"5-6 лет";"402";"ru";"Размер";"";"0"
"5.5 USA";"493";"ru";"Размер";"";"0"
"5/6";"799";"ru";"Размер";"";"0"
"50*60*18";"704";"ru";"Размер";"";"0"
"50*60*22";"705";"ru";"Размер";"";"0"
"50-10";"360";"ru";"Размер";"";"0"
"50-52";"746";"ru";"Размер";"";"0"
"52-54";"747";"ru";"Размер";"";"0"
"56 см";"425";"ru";"Размер";"";"0"
"58 см";"426";"ru";"Размер";"";"0"
"6 oz";"643";"ru";"Размер";"";"0"
"6 USA";"491";"ru";"Размер";"";"0"
"6 мм х 15 см х 2,5 м";"349";"ru";"Размер";"";"0"
"6.5 USA";"492";"ru";"Размер";"";"0"
"60/20-90-65";"594";"ru";"Размер";"";"0"
"6oz";"658";"ru";"Размер";"";"0"
"7 USA";"475";"ru";"Размер";"";"0"
"7,0 см х 27,3 м";"757";"ru";"Размер";"";"0"
"7,5 USA";"484";"ru";"Размер";"";"0"
"7,5 см х 4,5 м";"469";"ru";"Размер";"";"0"
"7,5 см х 5,48 м";"724";"ru";"Размер";"";"0"
"7,5 см х 6,85 м";"762";"ru";"Размер";"";"0"
"7,5 см х 6,9 м";"801";"ru";"Размер";"";"0"
"7-8 лет";"403";"ru";"Размер";"";"0"
"7.5 USA";"301";"ru";"Размер";"";"0"
"7/8";"796";"ru";"Размер";"";"0"
"70 х 50 см";"708";"ru";"Размер";"";"0"
"7oz L";"686";"ru";"Размер";"";"0"
"7oz M";"687";"ru";"Размер";"";"0"
"7oz S";"693";"ru";"Размер";"";"0"
"7oz XL";"688";"ru";"Размер";"";"0"
"8";"334";"ru";"Размер";"";"0"
"8 oz";"646";"ru";"Размер";"";"0"
"8 USA";"476";"ru";"Размер";"";"0"
"8 кг";"555";"ru";"Размер";"";"0"
"8.5 USA";"293";"ru";"Размер";"";"0"
"85";"702";"ru";"Размер";"";"0"
"9";"284";"ru";"Размер";"";"0"
"9 USA";"291";"ru";"Размер";"";"0"
"9 кг";"389";"ru";"Размер";"";"0"
"9-10 лет";"401";"ru";"Размер";"";"0"
"9-29кг";"386";"ru";"Размер";"";"0"
"9.5 USA";"292";"ru";"Размер";"";"0"
"9/10";"795";"ru";"Размер";"";"0"
"90";"700";"ru";"Размер";"";"0"
"90*60/20-65";"564";"ru";"Размер";"";"0"
"946 мл";"343";"ru";"Размер";"";"0"
"95";"701";"ru";"Размер";"";"0"
"A 2.5";"440";"ru";"Размер";"";"0"
"A1";"429";"ru";"Размер";"";"0"
"A1L";"427";"ru";"Размер";"";"0"
"A2";"428";"ru";"Размер";"";"0"
"A3";"430";"ru";"Размер";"";"0"
"A4";"439";"ru";"Размер";"";"0"
"C1";"431";"ru";"Размер";"";"0"
"C2";"432";"ru";"Размер";"";"0"
"CO";"433";"ru";"Размер";"";"0"
"COO";"434";"ru";"Размер";"";"0"
"F1";"457";"ru";"Размер";"";"0"
"F1L";"719";"ru";"Размер";"";"0"
"F2";"458";"ru";"Размер";"";"0"
"K00";"711";"ru";"Размер";"";"0"
"K1";"437";"ru";"Размер";"";"0"
"K2";"435";"ru";"Размер";"";"0"
"K3";"438";"ru";"Размер";"";"0"
"K4";"436";"ru";"Размер";"";"0"
"L";"216";"ru";"Размер";"";"0"
"L/XL";"219";"ru";"Размер";"";"0"
"LL";"2409";"ru";"Размер";"";"0"
"LXL";"6";"ru";"Размер";"";"0"
"M";"2";"ru";"Размер";"";"0"
"M/L";"356";"ru";"Размер";"";"0"
"Micro";"533";"ru";"Размер";"";"0"
"One size";"213";"ru";"Размер";"";"0"
"Oversize";"553";"ru";"Размер";"";"0"
"S";"5";"ru";"Размер";"";"0"
"S/M";"220";"ru";"Размер";"";"0"
"SM";"685";"ru";"Размер";"";"0"
"Standart";"531";"ru";"Размер";"";"0"
"XL";"217";"ru";"Размер";"";"0"
"XL/XXL";"462";"ru";"Размер";"";"0"
"XS";"332";"ru";"Размер";"";"0"
"XS/S";"463";"ru";"Размер";"";"0"
"XXL";"337";"ru";"Размер";"";"0"
"XXL/XXXL";"464";"ru";"Размер";"";"0"
"XXS";"539";"ru";"Размер";"";"0"
"XXXL";"465";"ru";"Размер";"";"0"
"XXXXL";"728";"ru";"Размер";"";"0"
"Y1";"441";"ru";"Размер";"";"0"
"Y2";"442";"ru";"Размер";"";"0"
"Y3";"443";"ru";"Размер";"";"0"
"Y4";"444";"ru";"Размер";"";"0"
"К1";"710";"ru";"Размер";"";"0"
"К2";"709";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001197, Everlast, 12 oz, Китай , бело-черный)";"887";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001197-14, Everlast, 14 oz, Китай , бело-черный)";"909";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001197-16, Everlast, 16 oz, Китай , бело-черный)";"908";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001198, Everlast, 14 oz, Китай , красный)";"904";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001200, Everlast, 16 oz, Китай , красный)";"888";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001201, Everlast, 14 oz, Китай , черный)";"901";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001202, Everlast, 16 oz, Китай , черный)";"912";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001203, Everlast, 14 oz, Китай , синий/красный)";"890";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001203-12, Everlast, 12 oz, Китай , синий/красный)";"898";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001204, Everlast, 16 oz, Китай , синий/красный)";"903";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001205, Everlast, 14 oz, Китай , синий)";"897";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001206, Everlast, 16 oz, Китай , синий)";"902";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001239, Everlast, 8 oz, Китай , черный)";"913";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001240, Everlast, 12 oz, Китай , черный)";"907";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001240-10, Everlast, 10 oz, Китай , черный)";"905";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001241, Everlast, 8 oz, Китай , синий)";"914";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001242, Everlast, 12 oz, Китай , синий)";"910";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001242-10, Everlast, 10 oz, Китай , синий)";"886";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001243, Everlast, 12 oz, Китай , красный)";"911";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001243-10, Everlast, 10 oz, Китай , красный)";"891";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00001243-8, Everlast, 8 oz, Китай , красный)";"892";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00002331, Everlast, 12 oz, Китай , темно-синий)";"900";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00002332, Everlast, 14 oz, Китай , темно-синий)";"895";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00002333, Everlast, 16 oz, Китай , темно-синий)";"899";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00002339, Everlast, 8 oz, Китай , зеленый)";"906";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00002343, Everlast, 16 oz, Китай , зеленый)";"893";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00002351, Everlast, 680, 12 oz, Китай , золотой)";"894";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00002352, Everlast, 795, 14 oz, Китай , золотой)";"896";"ru";"Размер";"";"0"
"Перчатки тренировчные Elite ProStyle Everlast (P00002353, Everlast, 910, 16 oz, Китай , золотой)";"889";"ru";"Размер";"";"0"
" бело-черный  ";"929";"ru";"Цвет";"";"0"
" белый  ";"958";"ru";"Цвет";"";"0"
" зелено-черный  ";"941";"ru";"Цвет";"";"0"
" зеленый  ";"928";"ru";"Цвет";"";"0"
" золотой  ";"936";"ru";"Цвет";"";"0"
" красно-черный  ";"2386";"ru";"Цвет";"";"0"
" красный  ";"934";"ru";"Цвет";"";"0"
